noc_code,gold,silver,bronze
NOR,14,14,11
GER,14,10,7
CAN,11,8,10
USA,9,8,6
NED,8,6,6
SWE,7,6,1
KOR,5,8,4
SUI,5,6,4
FRA,5,4,6
AUT,5,3,6
JPN,4,5,4
ITA,3,2,5
OAR,2,6,9
CZE,2,2,3
BLR,2,1,0
CHN,1,6,2
SVK,1,2,0
FIN,1,1,4
GBR,1,0,4
POL,1,0,1
HUN,1,0,0
UKR,1,0,0
AUS,0,2,1
SLO,0,1,1
BEL,0,1,0
NZL,0,0,2
ESP,0,0,2
KAZ,0,0,1
LAT,0,0,1
LIE,0,0,1
