entity_name,year,gdp_per_capita,origin
Cameroon,2020,3666,wb
Cameroon,2019,3757,wb
Cameroon,2018,3733,wb
Cameroon,2017,3691,wb
Canada,2018,48946,wb
Canada,2019,49169,wb
Canada,2020,46193,wb
Canada,2021,48356,wb
Canada,2022,49296,wb
Canada,2017,48317,wb
Cape Verde,2017,7131,wb
Cape Verde,2018,7314,wb
Cape Verde,2019,7743,wb
Cape Verde,2020,6073,wb
Cape Verde,2021,6357,wb
Cape Verde,2022,7379,wb
Cayman Islands,2022,71354,wb
Cayman Islands,2021,69401,wb
Cayman Islands,2020,67531,wb
Cayman Islands,2019,72432,wb
Cayman Islands,2017,69535,wb
Cayman Islands,2018,71046,wb
Central African Republic,2017,840,wb
Central African Republic,2018,855,wb
Central African Republic,2019,862,wb
Central African Republic,2020,848,wb
Central African Republic,2021,838,wb
Central African Republic,2022,824,wb
Chad,2022,1413,wb
Chad,2021,1425,wb
Chad,2020,1489,wb
Chad,2019,1562,wb
Chad,2018,1564,wb
Chad,2017,1580,wb
Chile,2021,25413,wb
Chile,2017,24547,wb
Chile,2018,25072,wb
Chile,2019,24810,wb
Chile,2022,25886,wb
Chile,2020,22971,wb
China,2021,17658,wb
China,2019,15978,wb
China,2018,15134,wb
China,2017,14244,wb
China,2020,16297,wb
China,2022,18188,wb
Colombia,2022,15617,wb
Colombia,2021,14661,wb
Colombia,2020,13358,wb
Colombia,2019,14616,wb
Colombia,2018,14426,wb
Colombia,2017,14335,wb
Comoros,2017,3240,wb
Comoros,2018,3295,wb
Comoros,2019,3291,wb
Comoros,2020,3222,wb
Comoros,2021,3229,wb
Comoros,2022,3246,wb
Congo,2017,4346,wb
Congo,2018,4145,wb
Congo,2019,4094,wb
Congo,2020,3749,wb
Congo,2021,3700,wb
Congo,2022,3670,wb
Costa Rica,2018,20503,wb
Costa Rica,2017,20168,wb
Costa Rica,2019,20818,wb
Costa Rica,2020,19778,wb
Costa Rica,2021,21220,wb
Costa Rica,2022,22071,wb
Cote d'Ivoire,2022,5537,wb
Cote d'Ivoire,2021,5316,wb
Cote d'Ivoire,2020,5092,wb
Cote d'Ivoire,2019,5132,wb
Cote d'Ivoire,2018,4942,wb
Cote d'Ivoire,2017,4836,wb
Croatia,2022,34302,wb
Croatia,2021,32061,wb
Croatia,2020,27002,wb
Croatia,2018,28288,wb
Croatia,2017,27268,wb
Croatia,2019,29412,wb
Cuba,2022,9500,other-estimated
Curacao,2017,24796,wb
Curacao,2020,19907,wb
Curacao,2019,23904,wb
Curacao,2021,21091,wb
Curacao,2018,24402,wb
Curacao,2022,23115,wb
Cyprus,2022,44996,wb
Cyprus,2021,43417,wb
Cyprus,2020,39872,wb
Cyprus,2019,41742,wb
Cyprus,2018,39977,wb
Cyprus,2017,38288,wb
Czechia,2018,39941,wb
Czechia,2019,40990,wb
Czechia,2020,38640,wb
Czechia,2021,40744,wb
Czechia,2022,41052,wb
Czechia,2017,38825,wb
Democratic Republic of Congo,2022,1133,wb
Democratic Republic of Congo,2017,1024,wb
Democratic Republic of Congo,2018,1048,wb
Democratic Republic of Congo,2019,1060,wb
Democratic Republic of Congo,2020,1044,wb
Democratic Republic of Congo,2021,1074,wb
Denmark,2020,55275,wb
Denmark,2019,56814,wb
Denmark,2018,56179,wb
Denmark,2017,55357,wb
Denmark,2021,58803,wb
Denmark,2022,59935,wb
Djibouti,2019,4768,wb
Djibouti,2022,4989,wb
Djibouti,2018,4589,wb
Djibouti,2021,4905,wb
Djibouti,2017,4452,wb
Djibouti,2020,4759,wb
Dominica,2017,11512,wb
Dominica,2018,11849,wb
Dominica,2019,12395,wb
Dominica,2020,10256,wb
Dominica,2021,10899,wb
Dominica,2022,11464,wb
Dominican Republic,2019,18171,wb
Dominican Republic,2018,17484,wb
Dominican Republic,2022,19338,wb
Dominican Republic,2021,18626,wb
Dominican Republic,2020,16768,wb
Dominican Republic,2017,16525,wb
East Asia and Pacific (WB),2017,16338,wb
East Asia and Pacific (WB),2018,17065,wb
East Asia and Pacific (WB),2019,17710,wb
East Asia and Pacific (WB),2020,17601,wb
East Asia and Pacific (WB),2021,18645,wb
East Asia and Pacific (WB),2022,19195,wb
East Timor,2017,3143,wb
East Timor,2020,4862,wb
East Timor,2019,3740,wb
East Timor,2021,5039,wb
East Timor,2022,3943,wb
East Timor,2018,3076,wb
Ecuador,2019,11390,wb
Ecuador,2022,10859,wb
Ecuador,2021,10669,wb
Ecuador,2020,10357,wb
Ecuador,2018,11608,wb
Ecuador,2017,11679,wb
Egypt,2017,10995,wb
Egypt,2018,11363,wb
Egypt,2019,11781,wb
Egypt,2020,11990,wb
Egypt,2021,12180,wb
Egypt,2022,12781,wb
El Salvador,2022,9396,wb
El Salvador,2017,8618,wb
El Salvador,2018,8813,wb
El Salvador,2019,9016,wb
El Salvador,2020,8295,wb
El Salvador,2021,9190,wb
Equatorial Guinea,2022,14918,wb
Equatorial Guinea,2020,15046,wb
Equatorial Guinea,2019,16240,wb
Equatorial Guinea,2018,17765,wb
Equatorial Guinea,2017,19618,wb
Equatorial Guinea,2021,14731,wb
Estonia,2017,33822,wb
Estonia,2022,37712,wb
Estonia,2020,35883,wb
Estonia,2019,36153,wb
Estonia,2018,34980,wb
Estonia,2021,38718,wb
Eswatini,2020,8290,wb
Eswatini,2019,8501,wb
Eswatini,2018,8344,wb
Eswatini,2017,8214,wb
Eswatini,2022,9059,wb
Eswatini,2021,9087,wb
Ethiopia,2021,2319,wb
Ethiopia,2020,2253,wb
Ethiopia,2019,2182,wb
Ethiopia,2018,2067,wb
Ethiopia,2017,1988,wb
Ethiopia,2022,2381,wb
Europe and Central Asia (WB),2018,34756,wb
Europe and Central Asia (WB),2017,34060,wb
Europe and Central Asia (WB),2020,33529,wb
Europe and Central Asia (WB),2022,36711,wb
Europe and Central Asia (WB),2019,35332,wb
Europe and Central Asia (WB),2021,35683,wb
European Union (27),2022,45977,wb
European Union (27),2021,44411,wb
European Union (27),2020,41824,wb
European Union (27),2019,44371,wb
European Union (27),2018,43556,wb
European Union (27),2017,42665,wb
Fiji,2022,12388,wb
Fiji,2020,10962,wb
Fiji,2017,12822,wb
Fiji,2021,10380,wb
Fiji,2018,13311,wb
Fiji,2019,13242,wb
Finland,2018,48049,wb
Finland,2017,47570,wb
Finland,2019,48583,wb
Finland,2020,47371,wb
Finland,2022,49275,wb
Finland,2021,48615,wb
France,2020,42345,wb
France,2017,44577,wb
France,2021,44941,wb
France,2022,45904,wb
France,2019,45923,wb
France,2018,45246,wb
Gabon,2021,13823,wb
Gabon,2020,13903,wb
Gabon,2019,14478,wb
Gabon,2018,14254,wb
Gabon,2017,14478,wb
Gabon,2022,13940,wb
Gambia,2017,1927,wb
Gambia,2018,2013,wb
Gambia,2019,2083,wb
Gambia,2020,2043,wb
Gambia,2021,2077,wb
Gambia,2022,2114,wb
Georgia,2019,14989,wb
Georgia,2017,13590,wb
Georgia,2018,14253,wb
Georgia,2020,13966,wb
Georgia,2021,15487,wb
Georgia,2022,17078,wb
Germany,2022,53970,wb
Germany,2021,53396,wb
Germany,2020,51780,wb
Germany,2019,53884,wb
Germany,2018,53431,wb
Germany,2017,53071,wb
Ghana,2021,5421,wb
Ghana,2020,5264,wb
Ghana,2019,5346,wb
Ghana,2018,5125,wb
Ghana,2017,4930,wb
Ghana,2022,5480,wb
Greece,2017,28605,wb
Greece,2018,29141,wb
Greece,2019,29720,wb
Greece,2020,27009,wb
Greece,2022,31704,wb
Greece,2021,29631,wb
Grenada,2022,14463,wb
Grenada,2021,13688,wb
Grenada,2020,13176,wb
Grenada,2019,15394,wb
Grenada,2018,15402,wb
Grenada,2017,14870,wb
Guatemala,2017,8322,wb
Guatemala,2018,8469,wb
Guatemala,2019,8673,wb
Guatemala,2020,8389,wb
Guatemala,2021,8927,wb
Guatemala,2022,9162,wb
Guinea,2022,2699,wb
Guinea,2017,2384,wb
Guinea,2018,2472,wb
Guinea,2019,2545,wb
Guinea,2020,2604,wb
Guinea,2021,2640,wb
Guinea-Bissau,2022,1855,wb
Guinea-Bissau,2021,1831,wb
Guinea-Bissau,2020,1804,wb
Guinea-Bissau,2019,1891,wb
Guinea-Bissau,2017,1872,wb
Guinea-Bissau,2018,1852,wb
Guyana,2022,35635,wb
Guyana,2021,21925,wb
Guyana,2020,18431,wb
Guyana,2019,12821,wb
Guyana,2018,12374,wb
Guyana,2017,12194,wb
Haiti,2017,3200,wb
Haiti,2018,3209,wb
Haiti,2019,3112,wb
Haiti,2020,2970,wb
Haiti,2021,2881,wb
Haiti,2022,2799,wb
High-income countries,2022,51744,wb
High-income countries,2021,50378,wb
High-income countries,2020,47667,wb
High-income countries,2019,49995,wb
High-income countries,2018,49334,wb
High-income countries,2017,48418,wb
Honduras,2017,5448,wb
Honduras,2018,5561,wb
Honduras,2019,5614,wb
Honduras,2020,5028,wb
Honduras,2021,5572,wb
Honduras,2022,5709,wb
Hong Kong,2021,60037,wb
Hong Kong,2019,59592,wb
Hong Kong,2018,61055,wb
Hong Kong,2017,59842,wb
Hong Kong,2022,58479,wb
Hong Kong,2020,55892,wb
Hungary,2021,33584,wb
Hungary,2020,31232,wb
Hungary,2019,32646,wb
Hungary,2018,31117,wb
Hungary,2017,29496,wb
Hungary,2022,35357,wb
Iceland,2022,55567,wb
Iceland,2021,53136,wb
Iceland,2020,51684,wb
Iceland,2019,56615,wb
Iceland,2018,56817,wb
Iceland,2017,55638,wb
