noc_code,gold,silver,bronze
NOR,16,8,13
GER,12,10,5
USA,9,9,7
CHN,9,4,2
SWE,8,5,5
NED,8,5,4
AUT,7,7,4
SUI,7,2,6
ROC,5,12,15
FRA,5,7,2
CAN,4,8,14
JPN,3,7,8
ITA,2,7,8
KOR,2,5,2
SLO,2,3,2
FIN,2,2,4
NZL,2,1,0
AUS,1,2,1
GBR,1,1,0
HUN,1,0,2
BEL,1,0,1
CZE,1,0,1
SVK,1,0,1
BLR,0,2,0
ESP,0,1,0
UKR,0,1,0
EST,0,0,1
LAT,0,0,1
POL,0,0,1
